X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-119.630015281577,50.8033393899807,96,286,TURTLE,FTU,50.803333,-119.63,640,1991/11/03 23:00:00+00,965201
-120.28831524646,50.2704559854657,97,291,GLIMPSE,FGL,50.27045,-120.2883,1381,1990/05/12 22:00:00+00,965202
-122.497904595411,50.5217279363992,98,292,DARCY,FDA,50.521722,-122.497889,330,1992/06/20 22:00:00+00,965203
-119.480015082965,50.2066727767216,99,298,FINTRY,FFI,50.206667,-119.48,670,1990/07/12 22:00:00+00,965204
-120.621085213605,49.9481159303282,100,302,ASPEN GROVE,FSG,49.94811,-120.62107,1065,1998/11/28 23:00:00+00,965205
-120.867165538444,50.9237059494008,101,305,SPARKS LAKE,FSK,50.9237,-120.86715,972,1991/03/16 23:00:00+00,965206
-122.880482540524,50.7963390018354,102,309,GWYNETH LAKE,FGW,50.796333,-122.880467,1205,1990/07/19 22:00:00+00,965207
-122.020715438311,49.9017857655873,103,316,NAHATLATCH,FNH,49.90178,-122.0207,552,2001/07/04 22:00:00+00,965208
-120.767434399178,49.0623197678669,104,317,ALLISON PASS,FAP,49.062314,-120.767419,1215,1989/05/09 22:00:00+00,965209
-120.481682096104,50.6733392829177,105,322,AFTON,FAF,50.673333,-120.481667,780,1989/03/16 23:00:00+00,965210
-120.674015380502,50.5040059518235,106,326,PASKA LAKE,FPK,50.504,-120.674,1440,1999/08/13 22:00:00+00,965211
-119.553348206668,49.5183393307993,107,328,PENTICTON RS,FPE,49.518333,-119.553333,427,1988/08/15 22:00:00+00,965212
-118.217181794425,51.0603395698333,108,363,REVELSTOKE,FRV,51.060333,-118.217167,680,1995/06/28 22:00:00+00,965213
-116.785014816867,51.0653397369923,109,366,WHISKEY,FWY,51.065333,-116.785,1354,1995/08/22 22:00:00+00,965214
-117.541681861256,51.7161730849124,110,374,SUCCOUR CREEK,FSU,51.716167,-117.541667,1000,1990/05/12 22:00:00+00,965215
-116.855114506587,49.9065063579919,111,380,POWDER CREEK,FPW,49.9065,-116.8551,1019,2001/07/03 22:00:00+00,965216
